Magazine,Month,Year,Name,Nationality,Sex,Job,Hexidecimal
GQ USA,February,1997,,,,,
GQ USA,March,1997,,,,,
GQ USA,April,1997,,,,,
GQ USA,May,1997,,,,,
GQ USA,June,1997,,,,,
GQ USA,July,1997,,,,,
GQ USA,August,1997,,,,,
GQ USA,September,1997,,,,,
GQ USA,October,1997,,,,,
GQ USA,November,1997,,,,,
GQ USA,December,1997,,,,,
GQ USA,January,1998,,,,,
GQ USA,February,1998,,,,,
GQ USA,March,1998,,,,,
GQ USA,April,1998,,,,,
GQ USA,May,1998,,,,,
GQ USA,June,1998,,,,,
GQ USA,July,1998,,,,,
GQ USA,August,1998,,,,,
GQ USA,September,1998,,,,,
GQ USA,October,1998,,,,,
GQ USA,November,1998,,,,,
GQ USA,December,1998,,,,,
GQ USA,January,1999,,,,,
GQ USA,February,1999,,,,,
GQ USA,March,1999,,,,,
GQ USA,April,1999,,,,,
GQ USA,May,1999,,,,,
GQ USA,June,1999,,,,,
GQ USA,July,1999,,,,,
GQ USA,August,1999,,,,,
GQ USA,September,1999,,,,,
GQ USA,October,1999,,,,,
GQ USA,November,1999,,,,,
GQ USA,December,1999,,,,,
GQ USA,January,2000,Tyra Banks,American,Female,Model,EE7842
GQ USA,February,2000,Penelope Cruz,Spanish,Female,Actor,EB8450
GQ USA,March,2000,Harrison Ford,American,Male,Actor,F296A0
GQ USA,March,2000,Tom Cruise,American,Male,Actor,F5B2B0
GQ USA,April,2000,Alex Rodriguez,American,Male,Baseball Player,FE8F6E
GQ USA,April,2000,Normar Garciaparra,American,Male,Baseball Player,FEB994
GQ USA,April,2000,Derek Jeter,American,Male,Baseball Player,F1875E
GQ USA,May,2000,Estella Warren,American,Female,Swimmer,F3A280
GQ USA,June,2000,Joquin Phoenix,American,Male,Actor,F8B9A5
GQ USA,July,2000,Mark Wahlberg,American,Male,Actor,FEA988
GQ USA,August,2000,Anna Kournikova,Russian,Female,Tennis Player,FC9997
GQ USA,September,2000,Brendan Fraser,American,Male,Actor,FEA97E
GQ USA,October,2000,Kevin Spacey,American,Male,Actor,E28C77
GQ USA,November,2000,Matthew Perry,American,Male,Actor,FEC1A2
GQ USA,November,2000,Shaquil O'Neil,American,Male,Basketball Player,4D1B1E
GQ USA,November,2000,Pierce Brosnan,British,Male,Actor,F5C2A3
GQ USA,December,2000,Charlize Theron,South African,Female,Actor,FAB37E
GQ USA,January,2001,Philip Seymour Hoffman,American,Male,Actor,FFC7AB
GQ USA,February,2001,Edward Burns,American,Male,Actor,FBC3B6
GQ USA,March,2001,Ed Norton,American,Male,Actor,FEB989
GQ USA,April,2001,Jaime King,Australian,Female,Actor,EBAAB0
GQ USA,May,2001,Ben Affleck,American,Male,Actor,E6937B
GQ USA,June,2001,Heath Ledger,British,Male,Actor,DF9B84
GQ USA,July,2001,Julianne Moore,American,Female,Actor,EAAD9F
GQ USA,August,2001,Chris Tucker,American,Male,Actor,AC4830
GQ USA,September,2001,Ben Stiller,American,Male,Actor,F2A075
GQ USA,October,2001,Kobe Bryant,American,Male,Basketball Player,9F5D50
GQ USA,October,2001,Mario Lemieux,American,Male,Canadian,EEB0A3
GQ USA,November,2001,Ben Affleck,American,Male,Actor,F7A68D
GQ USA,November,2001,Benico Del Toro,American,Male,Actor,BD5F45
GQ USA,November,2001,Kobe Bryant,American,Male,Basketball Player,8E3C26
GQ USA,December,2001,Will Smith,American,Male,Actor,C3533B
GQ USA,January,2002,Hugh Jackman,Australian,Male,Actor,EDA079
GQ USA,February,2002,Guy Pearce,British-Australian,Male,Actor,F7C5A0
GQ USA,March,2002,Tobey Maguire,American,Male,Actor,EFD2C8
GQ USA,April,2002,Katie Holmes,American,Female,Actor,FFC18F
GQ USA,May,2002,Todd Riegler,Swedish,Male,Model,N/A
GQ USA,June,2002,Chris Rock,American,Male,Actor,FFC18F
GQ USA,July,2002,Jude Law,British,Male,Actor,F6B290
GQ USA,August,2002,Vin Diesel,American,Male,Actor,F6B290
GQ USA,September,2002,Heidi Klum,German,Female,Model,F8AF86
GQ USA,October,2002,Tom Brady,American,Male,NFL Player,DDAE98
GQ USA,October,2002,Kevin Garnett,American,Male,Basketball Player,2D1416
GQ USA,November,2002,Denzel Washingotn,American,Male,Actor,5E2E21
GQ USA,November,2002,Hugh Grant,British,Male,Actor,EBB8AA
GQ USA,November,2002,Ralph Lauren,American,Male,Fashion Designer,DD8466
GQ USA,December,2002,Jennifer Lopez,American,Female,Singer,D89C6F
GQ USA,January,2003,George Clooney,American,Male,Actor,F5B59B
GQ USA,February,2003,Sam Rockwell,American,Male,Actor,F1B296
GQ USA,March,2003,Jennifer Garner,American,Female,Actor,FCC198
GQ USA,April,2003,Bernie Mac,American,Male,Comedian,78382D
GQ USA,May,2003,Keanu Reeves,Canadian,Male,Actor,D9B29F
GQ USA,June,2003,Eva Mendes,American,Female,Actor,CF764B
GQ USA,July,2003,Eric Bana,American,Male,Writer,E1AC8C
GQ USA,August,2003,Johnny Depp,American,Male,Actor,FBB496
GQ USA,September,2003,Johnny Knoxville,American,Male,Actor,F5AE8D
GQ USA,October,2003,Dwayne Johnson,American,Male,Actor,BD6C4A
GQ USA,November,2003,Colin Farrell,Irish,Male,Actor,EFD09E
GQ USA,November,2003,Adrien Brody,American,Male,Actor,DFA594
GQ USA,December,2003,Uma Therman,American,Female,Actor,EBB39D
GQ USA,January,2004,Orlando Bloom,British,Male,Actor,E3A396
GQ USA,February,2004,Ashton Kutcher,American,Male,Actor,E79882
GQ USA,March,2004,Angelena Jolie,American,Female,Actor,EFA57C
GQ USA,April,2004,Viggo Mortensen,Danish,Male,Actor,F4AD92
GQ USA,May,2004,Karolina Kurkova,Czech,Female,Model,F2BBB2
GQ USA,June,2004,Jake Gyllenhaal,American,Male,Actor,F5A585
GQ USA,July,2004,Will Ferrell,American,Male,Actor,EFA689
GQ USA,August,2004,Halle Berry,American,Female,Actor,D18252
GQ USA,September,2004,Justin Timberlake,American,Male,Actor,F4C3AF
GQ USA,October,2004,Lindsey Lohan,American,Female,Actor,F9BFA7
GQ USA,November,2004,Colin Farrell,Irish,Male,Actor,E78A59
GQ USA,December,2004,Jude Law,British,Male,Actor,E99C81
GQ USA,December,2004,Tom Cruise,American,Male,Actor,F4D5B9
GQ USA,December,2004,James Gandolfini,Italian-American,Male,Actor,EEC4A9
GQ USA,January,2005,Kate Bosworth,American,Female,Actor,F2AA89
GQ USA,February,2005,Jamie Foxx,American,Male,Actor,7D3421
GQ USA,March,2005,Russell Crowe,Australian,Male,Actor,F5C6BB
GQ USA,April,2005,Jessica Alba,American,Female,Actor,CD6143
GQ USA,May,2005,Hayden Christensen,Canadian,Male,Actor,FFB392
GQ USA,June,2005,Brad Pitt,American,Male,Actor,ECA88A
GQ USA,July,2005,Jessica Simpson,American,Female,Singer,F4AA84
GQ USA,August,2005,Johnny Knoxville,American,Male,Actor,F2C5AC
GQ USA,September,2005,Tom Brady,American,Male,NFL Player,CDA177
GQ USA,October,2005,Cameron Diaz,American,Female,Actor,F8B198
GQ USA,November,2005,Orlando Bloom,British,Male,Actor,F4CA96
GQ USA,December,2005,50 Cent,American,Male,Singer,5F3730
GQ USA,December,2005,Jennifer Anniston,American,Female,Actor,DCAA97
GQ USA,December,2005,Vince Vaugn,American,Male,Actor,DEBEA2
GQ USA,January,2006,Jack Black,American,Male,Actor,F8B78C
GQ USA,February,2006,Heath Ledger,Australian,Male,Actor,E2C1AD
GQ USA,March,2006,Matthew Fox,American,Male,Actor,CB9779
GQ USA,April,2006,Adriana Lima,Brazilian,Female,Model,AC896F
GQ USA,May,2006,Tom Cruise,American,Male,Actor,N/A
GQ USA,June,2006,Christina Aguilera,American,Female,Singer,EAD5C8
GQ USA,July,2006,Will Ferrell,American,Male,Actor,F6D7B7
GQ USA,August,2006,Justin Timberlake,American,Male,Singer,D2B2A6
GQ USA,September,2006,Clive Owen,British,Male,Actor,F7BB9E
GQ USA,October,2006,Josh Hartnett,American,Male,Actor,E3B8B8
GQ USA,November,2006,Dwyane Wade,American,Male,Basketball Player,694948
GQ USA,December,2006,Jay-Z,American,Male,Singer,8C4F32
GQ USA,December,2006,Leonardo DiCaprio,American,Male,Actor,E2AB8E
GQ USA,December,2006,Will Ferrell,American,Male,Actor,DBA287
GQ USA,January,2007,Robert De Niro,American,Male,Actor,E3AD98
GQ USA,February,2007,Jake Gyllenhaal,American,Male,Actor,D7B6B6
GQ USA,March,2007,Christian Bale,British,Male,Actor,E5C0BA
GQ USA,April,2007,Lindsay Lohan,American,Female,Actor,F6CEB7
GQ USA,May,2007,Stephen Colbert,American,Female,Actor,E7CCC4
GQ USA,June,2007,Jessica Alba,American,Female,Actor,DAA887
GQ USA,July,2007,Jessica Biel,American,Female,Actor,D7AE8D
GQ USA,August,2007,Matt Damon,American,Female,Actor,E7CBC0
GQ USA,September,2007,Barack Obama,American,Female,Actor,D19968
GQ USA,October,2007,Paul Newman,American,Female,Actor,DEA38F
GQ USA,November,2007,Ryan Gosling,Canadian,Male,Actor,F2CAAD
GQ USA,December,2007,Bill Clinton,American,Male,Politician,99694A
GQ USA,January,2008,Josh Brolin,American,Male,Actor,DBAD8B
GQ USA,February,2008,Rachel Bilson,American,Female,Actor,F8D7B7
GQ USA,March,2008,Eric Bana,Australian,Male,Actor,E9BA9D
GQ USA,April,2008,Adriana Lima,Brazilian,Female,Model,E5B080
GQ USA,May,2008,Robert Downey Jr.,American,Male,Actor,E0AB86
GQ USA,June,2008,Shia LaBeouf,American,Male,Actor,D0B89A
GQ USA,July,2008,Gisele Bündchen,Brazilian,Female,Model,D19465
GQ USA,August,2008,Seth Rogen,American,Male,Actor,E9BEB1
GQ USA,September,2008,James Franco,American,Male,Actor,EDC3AC
GQ USA,October,2008,Megan Fox,American,Female,Actor,EBC19F
GQ USA,November,2008,Jimmy Kimmel,American,Male,Television Host,E8C5AA
GQ USA,December,2008,Leonardo DiCaprio,American,Male,Actor,EAC9B4
GQ USA,January,2009,Jennifer Anniston,American,Female,Actor,ECC9A6
GQ USA,February,2009,LeBron James,American,Male,Basketball Player,7D4924
GQ USA,March,2009,Justin Timberlake,American,Male,Singer,E2B8A3
GQ USA,April,2009,Robert Pattinson,British,Male,Actor,EABCA1
GQ USA,May,2009,Zac Efron,American,Male,Actor,E9C1A6
GQ USA,June,2009,Christian Bale,British,Male,Actor,EDC6AE
GQ USA,July,2009,Sacha Baron Cohen,British,Male,Actor,E9C59A
GQ USA,August,2009,Channing Tatum,American,Male,Actor,E3C7B2
GQ USA,September,2009,Michael Jackson,American,Male,Singer,B97C53
GQ USA,October,2009,Olivia Wilde,American,Female,Actor,B27849
GQ USA,November,2009,January Jones,American,Female,Actor,F2D0B7
GQ USA,December,2009,Clint Eastwood,American,Male,Actor,E7AF84
GQ USA,January,2010,Rihanna,Barbadian,Female,Singer,BB895E
GQ USA,February,2010,Johnny Depp,American,Male,Actor,EAB89E
GQ USA,March,2010,Kobe Bryant,American,Male,Basketball Player,9C624E
GQ USA,April,2010,Shia LaBeouf,American,Male,Actor,E6C0A6
GQ USA,May,2010,Jake Gyllenhaal,American,Male,Actor,ECCB9F
GQ USA,June,2010,Miranda Kerr,Australian,Female,Model,E2A37A
GQ USA,July,2010,Taylor Lautner,American,Male,Actor,E2A37A
GQ USA,August,2010,Tracy Morgan,American,Male,Actor,B37857
GQ USA,September,2010,LeBron James,American,Male,Basketball Player,85482B
GQ USA,October,2010,Ryan Reynolds,Canadian-American,Male,Actor,EDD2C2
GQ USA,November,2010,Dianna Agron,American,Female,Actor,FCD4B9
GQ USA,November,2010,Cory Monteith,Canadian,Male,Actor,F6CEB7
GQ USA,November,2010,Lea Michele,American,Female,Actor,F3C4AC
GQ USA,December,2010,Scarlett Johansson,American,Female,Actor,E1C9B2
GQ USA,January,2011,Ryan Gosling,American,Male,Actor,E1C9B2
GQ USA,February,2011,Mohammed Ali,American,Male,Boxer,8E5238
GQ USA,March,2011,Channing Tatum,American,Male,Actor,EDC6B5
GQ USA,April,2011,Derek Jeter,American,Male,Baseball Player,C78563
GQ USA,May,2011,Zach Galifanakis,American,Male,Actor,E8BA98
GQ USA,June,2011,Alexander Skargard,American,Male,Actor,FACA9F
GQ USA,July,2011,Chris Evans,American,Male,Actor,F0BEA0
GQ USA,August,2011,Mila Kunis,American,Female,Actor,F4CFB6
GQ USA,September,2011,Mark Sanchez,American,Male,NFL Player,F5C89A
GQ USA,October,2011,Leonardo DiCaprio,American,Male,Actor,FADFCA
GQ USA,November,2011,Eminem,American,Male,Singer,E3C0A6
GQ USA,November,2011,Lil Wayne,American,Male,Singer,8C5439
GQ USA,November,2011,Keith Richards,American,Male,Singer,FACBB7
GQ USA,December,2011,Jay-Z,American,Male,Singer,784C30
GQ USA,January,2012,Matt Damon,American,Male,Actor,F0C5A2
GQ USA,February,2012,Michelle Williams,American,Female,Actor,FBE8D5
GQ USA,March,2012,Paul Rudd,American,Male,Actor,F1D1BE
GQ USA,March,2012,Jennifer Anniston,American,Female,Actor,ECD2C6
GQ USA,April,2012,Dave Franco,American,Male,Actor,EAB996
GQ USA,April,2012,Drake,Canadian,Male,Actor,D6AA89
GQ USA,April,2012,John Slattery,American,Male,Actor,F8D5BC
GQ USA,May,2012,Derrick Rose,American,Male,Basketball Player,BE8760
GQ USA,June,2012,Michael Faassbender,Irish-German,Male,Actor,EDDDCC
GQ USA,July,2012,Kate Upton,American,Female,Model,F3DBC4
GQ USA,August,2012,Joseph Gordon Levitt,American,Male,Actor,F2C8B5
GQ USA,September,2012,Tim Tebow,American,Male,Baseball Player,E1B99B
GQ USA,September,2012,Cam Newton,American,Male,NFL Player,A57153
GQ USA,October,2012,Denzel Washington,American,Male,Actor,A08872
GQ USA,October,2012,Javier Bardem,Spanish,Male,Actor,DFCCB0
GQ USA,October,2012,Chris Paul,American,Male,Baseball Player,8F755C
GQ USA,November,2012,Jermemy Lin,American,Male,Basketball Player,E6B79A
GQ USA,December,2012,Ben Affleck,American,Male,Actor,F1D1C1
GQ USA,December,2012,Rihanna,Barbadian,Female,Singer,F5D2BA
GQ USA,December,2012,Channing Tatum,American,Male,Actor,F3C8B2
GQ USA,January,2013,Bill Murray,American,Male,Actor,E6D3B1
GQ USA,February,2013,Beyonce,American,Female,Singer,F1BC95
GQ USA,March,2013,Bruce Willis,American,Male,Actor,DFC3A9
GQ USA,April,2013,Bruno Mars,American,Male,Singer,B87955
GQ USA,April,2013,Jimmy Fallon,American,Male,Television Host,DA9F74
GQ USA,April,2013,Jason Bateman,American,Male,Actor,FFD0AE
GQ USA,May,2013,Robert Downey Jr.,American,Male,Actor,E4C2A4
GQ USA,June,2013,James Franco,American,Male,Actor,E9B59B
GQ USA,July,2013,Drake,Canadian,Male,Singer,DC9C78
GQ USA,August,2013,Bryon Cranston,American,Male,Actor,F0C0A0
GQ USA,September,2013,Colin Kaepernick,American,Male,NFL Player,E7B28B
GQ USA,September,2013,Robert Griffin III,American,Male,NFL Player,B7663D
GQ USA,October,2013,Idris Elba,British,Male,Actor,8A4E37
GQ USA,October,2013,Justin Theroux,American,Male,Actor,ECBEAB
GQ USA,October,2013,Jeff Bridges,American,Male,Actor,ECC0A8
GQ USA,November,2013,Michael Faassbender,American,Male,Actor,EBC8A4
GQ USA,November,2013,Matthew McConaughey,American,Male,Actor,E3BCA7
GQ USA,November,2013,Justin Timberlake,American,Male,Singer,E8C4AE
GQ USA,November,2013,James Gandolfini,Italian-American,Male,Actor,N/A
GQ USA,November,2013,Kendrick Lemar,American,Male,Singer,AC7655
GQ USA,December,2013,Will Ferrell,American,Male,Actor,EED3C5
GQ USA,January,2014,Bradley Cooper,American,Male,Actor,E4B48D
GQ USA,February,2014,Katy Perry,American,Female,Singer,EFCEB5
GQ USA,March,2014,LeBron James,American,Male,Basketball Player,9C5E43
GQ USA,April,2014,Kit Harrington,British,Male,Actor,DDB192
GQ USA,April,2014,Liam Neeson,Irish,Male,Actor,DDB192
GQ USA,April,2014,Pharrell Williams,American,Male,Singer,E3BB9F
GQ USA,May,2014,Louis C.K.,American,Male,Comedian,F8E2C0
GQ USA,June,2014,Channing Tatum,American,Male,Actor,E2B9A0
GQ USA,July,2014,Emily Ratajowski,American,Female,Model,B4937B
GQ USA,August,2014,Kanye West,American,Male,Singer,8F5E4E
GQ USA,September,2014,Adam Driver,American,Male,Actor,EAC3AE
GQ USA,October,2014,Norman Reedus,American,Male,Actor,EBC8B6
GQ USA,October,2014,Clive Owen,British,Male,Actor,E6B299
GQ USA,October,2014,Blake Griffin,American,Male,Basketball Player,E6B299
GQ USA,November,2014,Matthew McConaughey,American,Male,Actor,EEC6AF
GQ USA,December,2014,Dave Chapelle,American,Male,Comedian,A3593E
GQ USA,December,2014,Chris Pratt,American,Male,Actor,EBC0AC
GQ USA,December,2014,Ansel Elgort,American,Male,Actor,EED2BA
GQ USA,December,2014,Shailene Woodley,American,Female,Actor,FCE3D3
GQ USA,January,2015,Chris Hemsworth,Australian,Male,Actor,E2BAAA
GQ USA,February,2015,Pharrell Williams,American,Male,Singer,DE9675
GQ USA,March,2015,Kevin Durant,American,Male,Baseball Player,A76D4D
GQ USA,March,2015,Kevin Love,American,Male,Baseball Player,ECC5B4
GQ USA,March,2015,Kobe Bryant,American,Male,Basketball Player,884D33
GQ USA,April,2015,Jon Hamm,American,Male,Actor,E7BEAE
GQ USA,May,2015,Kendall Jenner,American,Female,Model,ECBBA5
GQ USA,June,2015,Chris Pratt,American,Male,Actor,EFCFB6
GQ USA,July,2015,Brad Pitt,American,Male,Actor,DBB8B9
GQ USA,July,2015,Beyonce,American,Female,Singer,D78E6A
GQ USA,July,2015,Jay-Z,American,Male,Singer,8D4432
GQ USA,July,2015,Bradley Cooper,American,Male,Actor,FBC4AB
GQ USA,July,2015,Ryan Gosling,Canadian,Male,Actor,E6AE9A
GQ USA,July,2015,Pharrell Williams,American,Male,Singer,C0836B
GQ USA,July,2015,Kanye West,American,Male,Singer,613A31
GQ USA,August,2015,Amy Schumer,American,Female,Comedian,F4D3C3
GQ USA,September,2015,Stephen Colbert,American,Male,Comedian,EEB691
GQ USA,October,2015,Michael B. Jordan,American,Male,Actor,A66D5C
GQ USA,October,2015,Rob Lowe,American,Male,Actor,F3C8B3
GQ USA,October,2015,Ryan Renolds,Canadian-American,Male,Actor,F2C0AD
GQ USA,November,2015,Taylor Swift,American,Female,Singer,F6CEB7
GQ USA,December,2015,Barack Obama,American,Male,Politician,B7795A
GQ USA,December,2015,Tom Brady,American,Male,NFL Player,EAC6B9
GQ USA,January,2016,Oscar Issac,Guatemalan-American,Male,Actor,E0AE98
GQ USA,February,2016,Alessandra Ambrosio,Brazilian,Female,Model,FBBB9C
GQ USA,February,2016,Christiano Ronaldo,Spanish,Male,Football Player,F6AC90
GQ USA,March,2016,Justin Bieber,Canadian,Male,Singer,EEBBA3
GQ USA,April,2016,David Beckham,American,Male,Football Player,E9C3B7
GQ USA,May,2016,Future,American,Male,Singer,BE785B
GQ USA,May,2016,Ryan Renolds,Canadian-American,Male,Actor,E2B2A0
GQ USA,May,2016,Tom Hardy,British,Male,Actor,EBB9AA
GQ USA,May,2016,Lucky Blue Smith,American,Male,Model,EAC0B2
GQ USA,May,2016,Drake,Canadian,Male,Actor,CC855E
GQ USA,June,2016,Rob Gronkowski,American,Male,NFL Player,F5C6A1
GQ USA,June,2016,Hailey Clauson,American,Female,Model,F7CC9F
GQ USA,July,2016,Kim Kardashian-West,Armenian-American,Female,Television Personality,E1B396
GQ USA,August,2016,Matt Damon,American,Male,Actor,EAC3B9
GQ USA,September,2016,Cam Newton,American,Male,NFL Player,9E5E48
GQ USA,October,2016,Lin-Manuel Miranda,American,Male,Composer,E6B79B
GQ USA,November,2016,Russell Westbrook,American,Male,Basketball Player,9F5134
GQ USA,December,2016,Usain Bolt,Jamacian,Male,Athlete,9B6145
GQ USA,December,2016,Ryan Renolds,Canadian-American,Male,Actor,E2AC94
GQ USA,December,2016,Warren Beatty,American,Male,Actor,E2B49C
GQ USA,January,2017,Ryan Gosling,Canadian,Male,Singer,EDD3C1
GQ USA,February,2017,Chance the Rapper,American,Male,Singer,CB8460
GQ USA,February,2017,The Weeknd,American,Male,Singer,E29E81
GQ USA,March,2017,Tom Hiddleston,British,Male,Actor,E2C2B2
GQ USA,April,2017,Roger Federer,Swiss,Male,Tennis Player,E5B79F
GQ USA,May,2017,Steph Curry,American,Male,Basketball Player,CF9D77
GQ USA,June,2017,Dwayne Johnson,American,Male,Actor,C8845A
GQ USA,July,2017,Mahershala Ali,American,Male,Actor,AF785D
GQ USA,August,2017,John Boyega,British,Male,Actor,AF785D
GQ USA,September,2017,Robert Pattinson,British,Male,Actor,D8B09E
GQ USA,October,2017,Harrison Ford,American,Male,Actor,EBBEA8
GQ USA,November,2017,LeBron James,American,Male,Basketball Player,A56335
GQ USA,December,2017,Stephen Colbert,American,Male,Comedian,DDAE9B
GQ USA,January,2018,Stephen Colbert,American,Male,Comedian,DDAE9B
GQ USA,February,2018,Jimmy Kimmel,American,Male,Television Host,DEBAA4
GQ USA,March,2018,Timothée Chalamet,American,Male,Actor,CFAC8F
GQ USA,April,2018,Diddy,American,Male,Singer,824525
GQ USA,May,2018,James Harden,American,Male,Basketball Player,6D402A
GQ USA,June,2018,Issa Rae,American,Female,Actor,6D402A
GQ USA,June,2018,Kate McKinnon,American,Female,Actor,D1A88C
GQ USA,June,2018,Sarah Silverman,American,Female,Comedian,EBCBAD
GQ USA,July,2018,Zayn Malik,British,Male,Singer,DBBD9C
GQ USA,August,2018,Travis Scott,American,Male,Singer,644A3B
GQ USA,August,2018,Kylie Jenner,American,Female,Television Personality,C7A990
GQ USA,September,2018,Chris Hemsworth,Australian,Male,Actor,D4B9AB
GQ USA,October,2018,Paul McCartney,British,Male,Singer,E2BBA6
GQ USA,November,2018,Ryan Gosling,Canadian,Male,Actor,DEBBA8
GQ USA,December,2018,Michael B. Jordan,American,Male,Actor,885D28
GQ USA,January,2019,Michael B. Jordan,American,Male,Actor,885D28
GQ USA,February,2019,Frank Ocean,American,Male,Singer,A2542E
GQ USA,March,2019,Lucas Hedges,American,Male,Actor,FED5B1
GQ USA,April,2019,J. Cole,American,Male,Singer,F69A58
GQ USA,May,2019,Keanu Reeves,Canadian,Male,Actor,N/A
GQ USA,June,2019,Seth Rogan,Canadian,Male,Actor,E9C8B4
GQ USA,July,2019,Seth Rogan,American,Male,Actor,E9C8B4
GQ USA,August,2019,Odell Beckham Jr.,American,Male,NFL Player,B48F74
GQ USA,September,2019,Rami Malek,American,Male,Actor,D7C0A3
GQ USA,October,2019,Brad Pitt,American,Male,Actor,C69263
GQ USA,November,2019,Pharrell Williams,American,Male,Singer,AF7458
GQ USA,December,2019,Tyler the Creator,American,Male,Singer,B47B5D
GQ USA,January,2020,Jennifer Lopez,American,Female,Singer,N/A
GQ USA,February,2020,Larry David,American,Male,Actor,FEE3DC
GQ USA,March,2020,Russell Westbrook,American,Male,Basketball Player,C57E56
GQ USA,March,2020,Jamed Harden,American,Male,Basketball Player,9F5134
